type,llm_name,udb_name,match_score,llm_class,udb_class,source_file,notes
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_A,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_B,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_C,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_D,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_F,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_H,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_M,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_Q,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_S,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_U,0.9,NORM_CSR_RW,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
NAMING_MISMATCH,CBO_INVAL_MAY_FLUSH,FORCE_UPGRADE_CBO_INVAL_TO_FLUSH,0.429,NORM_DIRECT,NORM_CSR_WARL,cmo.adoc,
NAMING_MISMATCH,XENVCFG_LEGAL_VALUES,MSTATUS_FS_LEGAL_VALUES,0.4,NORM_CSR_WARL,NORM_CSR_WARL,cmo.adoc,
NAMING_MISMATCH,XENVCFG_LEGAL_VALUES,MSTATUS_VS_LEGAL_VALUES,0.4,NORM_CSR_WARL,NORM_CSR_WARL,cmo.adoc,
NAMING_MISMATCH,RESERVED_VILL_SET,RESERVED_VSET_X0X0_VILL_SET,0.6,NORM_DIRECT,NORM_DIRECT,v-st-ext.adoc,
NAMING_MISMATCH,SATP_MODE_SUPPORT,SATP_MODE_BARE,0.5,NORM_CSR_WARL,NORM_CSR_WARL,supervisor.adoc,
NAMING_MISMATCH,TRAP_ON_RESERVED_ROUNDING_MODE,TRAP_ON_RESERVED_INSTRUCTION,0.5,NORM_DIRECT,NORM_DIRECT,f-st-ext.adoc,
NAMING_MISMATCH,VECTOR_FF_SEG_PARTIAL_ACCESS,VECTOR_FF_SEG_EXCEPTION_PARTIAL_LOAD,0.571,NORM_DIRECT,NORM_DIRECT,v-st-ext.adoc,
NAMING_MISMATCH,VECTOR_LS_WHOLEREG_MISSALIGNED_EXCEPTION,VECTOR_LS_WHOLEREG_MISALIGNED_LEGAL,0.429,NORM_DIRECT,NORM_DIRECT,v-st-ext.adoc,
NAMING_MISMATCH,RESERVED_VILL_SET,VILL_SET_ON_RESERVED_VTYPE,0.6,NORM_DIRECT,NORM_DIRECT,v-st-ext.adoc,
CLASS_DISAGREEMENT,HPM_COUNTER_EN,HPM_COUNTER_EN,1.0,NORM_DIRECT,NORM_CSR_RW,counters.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_RW"
CLASS_DISAGREEMENT,HPM_EVENTS,HPM_EVENTS,1.0,NORM_DIRECT,NORM_CSR_WARL,counters.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_WARL"
CLASS_DISAGREEMENT,JVT_READ_ONLY,JVT_READ_ONLY,1.0,NORM_CSR_RW,NORM_CSR_WARL,zc.adoc,"LLM says NORM_CSR_RW, UDB says NORM_CSR_WARL"
CLASS_DISAGREEMENT,MISA_CSR_IMPLEMENTED,MISA_CSR_IMPLEMENTED,1.0,NORM_DIRECT,NORM_CSR_RW,machine.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_RW"
CLASS_DISAGREEMENT,SXLEN,SXLEN,1.0,NORM_CSR_RW,NORM_DIRECT,machine.adoc,"LLM says NORM_CSR_RW, UDB says NORM_DIRECT"
CLASS_DISAGREEMENT,UXLEN,UXLEN,1.0,NORM_CSR_RW,NORM_DIRECT,machine.adoc,"LLM says NORM_CSR_RW, UDB says NORM_DIRECT"
UDB_RECALL_MISS,,ARCH_ID_VALUE,0.0,,NORM_DIRECT,,"The value of `marchid`
The combination of mvendorid and marchid should uniquely identify the type of"
UDB_RECALL_MISS_DEBUG,,DBG_HCONTEXT_WIDTH,0.0,,NORM_CSR_WARL,,Specifies the size of HCONTEXT
UDB_RECALL_MISS_DEBUG,,DBG_SCONTEXT_WIDTH,0.0,,NORM_CSR_WARL,,Specifies the size of SCONTEXT
UDB_RECALL_MISS_DEBUG,,DCSR_MPRVEN_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.MPRVEN is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.MP"
UDB_RECALL_MISS_DEBUG,,DCSR_STEPIE_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.STEPIE is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.ST"
UDB_RECALL_MISS_DEBUG,,DCSR_STOPCOUNT_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.STOPCOUNT is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr"
UDB_RECALL_MISS_DEBUG,,DCSR_STOPTIME_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.STOPTIME is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr."
UDB_RECALL_MISS,,FOLLOW_VTYPE_RESET_RECOMMENDATION,0.0,,NORM_DIRECT,,"It is recommended that at reset, vtype.vill is set, the remaining bits in vtype are zero, and vl is "
UDB_RECALL_MISS_DEBUG,,HCONTEXT_AVAILABLE,0.0,,NORM_DIRECT,,Specifies if HCONTEXT is available
UDB_RECALL_MISS,,HCOUNTENABLE_EN,0.0,,NORM_CSR_RW,,"Indicates which counters can delegated via `hcounteren`

An unimplemented counter cannot be specifie"
UDB_RECALL_MISS,,HSTATEEN_JVT_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  "
UDB_RECALL_MISS,,IGNORE_INVALID_VSATP_MODE_WRITES_WHEN_V_EQ_ZERO,0.0,,NORM_CSR_WARL,,"Whether writes from M-mode, U-mode, or S-mode to vsatp with an illegal mode setting are
ignored (as "
UDB_RECALL_MISS,,IMPRECISE_VECTOR_TRAP_SETTABLE,0.0,,NORM_DIRECT,,"Some profiles may provide a privileged configuration bit that selects
between precise and imprecise "
UDB_RECALL_MISS,,IMP_ID_VALUE,0.0,,NORM_DIRECT,,A unique encoding of the version of the processor implementation.
UDB_RECALL_MISS,,LEGAL_VSTART,0.0,,NORM_DIRECT,,"Implementations may raise illegal-instruction exceptions for vector
instructions that specify a `vst"
UDB_RECALL_MISS,,MCID_WIDTH,0.0,,NORM_CSR_WARL,,"Number of bits used for the Monitoring Counter ID field (MCID).
Default is 12."
UDB_RECALL_MISS_DEBUG,,MCONTEXT_AVAILABLE,0.0,,NORM_DIRECT,,Specifies if MCONTEXT is available
UDB_RECALL_MISS,,MCOUNTENABLE_EN,0.0,,NORM_CSR_RW,,"Indicates which counters can be delegated via `mcounteren`.

An unimplemented counter cannot be spec"
UDB_RECALL_MISS,,MISALIGNED_LDST_EXCEPTION_PRIORITY,0.0,,NORM_DIRECT,,"The relative priority of a load/store/AMO exception vs. load/store/AMO page-fault
or access-fault ex"
UDB_RECALL_MISS,,MISALIGNED_SPLIT_STRATEGY,0.0,,NORM_DIRECT,,"Options:

  * sequential_bytes: The load/store appears to be broken into byte-sized accesses that pr"
