type,llm_name,udb_name,match_score,llm_class,udb_class,source_file,notes
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_A,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_B,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_C,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_D,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_F,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_H,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_M,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_Q,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_S,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_U,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
NAMING_MISMATCH,LRSC_FAIL_ON_DEVICE_WRITE,LRSC_FAIL_ON_VA_SYNONYM,0.429,NORM_DIRECT,NORM_DIRECT,a-st-ext.adoc,
NAMING_MISMATCH,SSAMOSWAP_MISALIGNED_BEHAVIOR,LRSC_MISALIGNED_BEHAVIOR,0.5,NORM_DIRECT,NORM_DIRECT,unpriv-cfi.adoc,
NAMING_MISMATCH,PMP_ADDR_WIDTH,PHYS_ADDR_WIDTH,0.5,NORM_CSR_WARL,NORM_DIRECT,machine.adoc,
CLASS_DISAGREEMENT,ASID_WIDTH,ASID_WIDTH,1.0,NORM_CSR_WARL,NORM_DIRECT,supervisor.adoc,"LLM says NORM_CSR_WARL, UDB says NORM_DIRECT"
CLASS_DISAGREEMENT,HPM_COUNTER_EN,HPM_COUNTER_EN,1.0,NORM_DIRECT,NORM_CSR_RW,counters.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_RW"
