type,llm_name,udb_name,match_score,llm_class,udb_class,source_file,notes
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_A,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_B,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_C,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_M,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_S,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
ONE_TO_MANY,MUTABLE_MISA_EXTENSIONS,MUTABLE_MISA_U,0.9,NORM_CSR_WARL,NORM_CSR_RW,machine.adoc,LLM aggregated per-extension UDB params into one bitmask
NAMING_MISMATCH,CBO_INVAL_MAY_FLUSH,FORCE_UPGRADE_CBO_INVAL_TO_FLUSH,0.429,NORM_DIRECT,NORM_CSR_WARL,cmo.adoc,
NAMING_MISMATCH,MISALIGNED_LDST_INVISIBLE_TRAP,MISALIGNED_LDST,0.7,NORM_DIRECT,NORM_DIRECT,rv32.adoc,
NAMING_MISMATCH,TRAP_ON_RESERVED_ROUNDING_MODE,TRAP_ON_RESERVED_INSTRUCTION,0.5,NORM_DIRECT,NORM_DIRECT,f-st-ext.adoc,
NAMING_MISMATCH,TRAP_ON_UNIMPLEMENTED_HPM_COUNTER,TRAP_ON_UNIMPLEMENTED_CSR,0.5,NORM_DIRECT,NORM_DIRECT,counters.adoc,
NAMING_MISMATCH,TRAP_ON_UNIMPLEMENTED_HPM_COUNTER,TRAP_ON_UNIMPLEMENTED_INSTRUCTION,0.5,NORM_DIRECT,NORM_DIRECT,counters.adoc,
CLASS_DISAGREEMENT,HPM_COUNTER_EN,HPM_COUNTER_EN,1.0,NORM_DIRECT,NORM_CSR_RW,counters.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_RW"
CLASS_DISAGREEMENT,HPM_EVENTS,HPM_EVENTS,1.0,NORM_DIRECT,NORM_CSR_WARL,counters.adoc,"LLM says NORM_DIRECT, UDB says NORM_CSR_WARL"
CLASS_DISAGREEMENT,JVT_ACCESS,JVT_READ_ONLY,1.0,NORM_CSR_RW,NORM_CSR_WARL,zc.adoc,"LLM says NORM_CSR_RW, UDB says NORM_CSR_WARL"
